original_path,processed_path,label
..\data\raw\comedonal_closed\come_001.jpg,..\data\processed\comedonal_closed\comedonal_closed_0001.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_002.jpg,..\data\processed\comedonal_closed\comedonal_closed_0002.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_003.jpg,..\data\processed\comedonal_closed\comedonal_closed_0003.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_004.png,..\data\processed\comedonal_closed\comedonal_closed_0004.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_005.png,..\data\processed\comedonal_closed\comedonal_closed_0005.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_006.png,..\data\processed\comedonal_closed\comedonal_closed_0006.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_007.jpg,..\data\processed\comedonal_closed\comedonal_closed_0007.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_008.jpg,..\data\processed\comedonal_closed\comedonal_closed_0008.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_009.webp,..\data\processed\comedonal_closed\comedonal_closed_0009.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_010.webp,..\data\processed\comedonal_closed\comedonal_closed_0010.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_011.jpg,..\data\processed\comedonal_closed\comedonal_closed_0011.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_012.webp,..\data\processed\comedonal_closed\comedonal_closed_0012.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_013.png,..\data\processed\comedonal_closed\comedonal_closed_0013.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_014.png,..\data\processed\comedonal_closed\comedonal_closed_0014.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_015.jpg,..\data\processed\comedonal_closed\comedonal_closed_0015.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_016.png,..\data\processed\comedonal_closed\comedonal_closed_0016.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_017.png,..\data\processed\comedonal_closed\comedonal_closed_0017.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_018.png,..\data\processed\comedonal_closed\comedonal_closed_0018.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_019.png,..\data\processed\comedonal_closed\comedonal_closed_0019.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_020.png,..\data\processed\comedonal_closed\comedonal_closed_0020.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_021.png,..\data\processed\comedonal_closed\comedonal_closed_0021.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_022.png,..\data\processed\comedonal_closed\comedonal_closed_0022.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_023.png,..\data\processed\comedonal_closed\comedonal_closed_0023.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_024.png,..\data\processed\comedonal_closed\comedonal_closed_0024.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_025.png,..\data\processed\comedonal_closed\comedonal_closed_0025.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_026.png,..\data\processed\comedonal_closed\comedonal_closed_0026.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_027.webp,..\data\processed\comedonal_closed\comedonal_closed_0027.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_028.webp,..\data\processed\comedonal_closed\comedonal_closed_0028.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_029.png,..\data\processed\comedonal_closed\comedonal_closed_0029.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_030.jpeg,..\data\processed\comedonal_closed\comedonal_closed_0030.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_031.png,..\data\processed\comedonal_closed\comedonal_closed_0031.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_032.png,..\data\processed\comedonal_closed\comedonal_closed_0032.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_033.png,..\data\processed\comedonal_closed\comedonal_closed_0033.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_034.webp,..\data\processed\comedonal_closed\comedonal_closed_0034.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_035.png,..\data\processed\comedonal_closed\comedonal_closed_0035.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_036.png,..\data\processed\comedonal_closed\comedonal_closed_0036.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_037.png,..\data\processed\comedonal_closed\comedonal_closed_0037.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_038.png,..\data\processed\comedonal_closed\comedonal_closed_0038.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_039.png,..\data\processed\comedonal_closed\comedonal_closed_0039.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_040.png,..\data\processed\comedonal_closed\comedonal_closed_0040.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_041.png,..\data\processed\comedonal_closed\comedonal_closed_0041.jpg,comedonal_closed
..\data\raw\comedonal_closed\come_042.png,..\data\processed\comedonal_closed\comedonal_closed_0042.jpg,comedonal_closed
